Satellite Name,Culmination Time (UTC),Altitude (km)
THEMIS D,2025-01-07 21:05:58,80599.50648643411
THEMIS E,2025-01-07 21:17:50,79700.25461681299
ARABSAT-6A,2025-01-07 22:55:59,38489.85662804554
EXPRESS-AM8,2025-01-07 23:20:27,38487.7114387189
ASTRA 2G,2025-01-07 23:46:17,38402.48813308898
METEOSAT-9 (MSG-2),2025-01-07 23:32:17,38400.172460211936
ARABSAT-7B (BADR-8),2025-01-07 23:27:52,38351.557275999374
THURAYA-2,2025-01-07 21:59:30,38349.75830825857
ES'HAIL 2,2025-01-07 21:52:56,38345.27677711402
ES'HAIL 1,2025-01-07 22:30:27,38336.15033757769
EUTELSAT 8 WEST B,2025-01-07 22:46:41,38328.722742780694
EUTELSAT 7 WEST A,2025-01-07 21:37:52,38323.55775194097
NILESAT 301,2025-01-07 21:58:03,38304.537802954976
ASTRA 5B,2025-01-07 22:47:39,38300.75152729656
EUTELSAT 5 WEST B,2025-01-07 22:26:08,38262.59685496177
EUTELSAT 21B,2025-01-07 21:32:24,38251.71294957503
ARABSAT-5C,2025-01-07 22:16:24,38227.77918890309
ABS-3A,2025-01-07 23:44:22,38222.90428849322
ASTRA 1L,2025-01-07 23:09:46,38222.755434616854
AMOS-17,2025-01-07 21:31:55,38182.8837851896
EUTELSAT 16A,2025-01-07 21:59:47,38179.96368108346
BULGARIASAT-1,2025-01-07 23:09:20,38164.276826198424
EUTELSAT 3B,2025-01-07 22:10:38,38156.39997302216
EUTELSAT 7B,2025-01-07 22:39:09,38131.62179377734
ALPHASAT,2025-01-07 21:32:05,38068.51744884922
TDRS 13,2025-01-07 22:57:07,38065.76558266131
MERIDIAN 8,2025-01-07 23:58:50,38064.55114990308
IRNSS-1I,2025-01-07 23:45:33,37479.60094632692
UFO 2 (USA 95),2025-01-07 21:11:07,37465.8448404649
USA 164 (MILSTAR-2 3),2025-01-07 23:04:18,37312.24378750921
SKYNET 4E,2025-01-07 23:46:11,37242.929789180605
IRNSS-1A,2025-01-07 22:50:13,37188.41789220891
AMC-14,2025-01-07 23:13:24,36507.23229454947
XMM-NEWTON,2025-01-07 22:16:56,32649.403500033917
COSMOS 2563,2025-01-07 21:16:28,32414.803546241135
PHASE 3B (AO-10),2025-01-07 23:14:39,28080.021116432184
SHIYAN 10-01 (SY-10 01),2025-01-07 21:26:11,26102.11259615663
GSAT0225 (GALILEO 29),2025-01-07 22:07:14,25709.430658655514
GSAT0232 (GALILEO 32),2025-01-07 21:30:47,25363.529405784484
GSAT0103 (GALILEO-FM3),2025-01-07 23:33:22,24395.321424637164
GSAT0102 (GALILEO-FM2),2025-01-07 22:29:39,23353.61544710752
GSAT0224 (GALILEO 28),2025-01-07 23:53:10,23283.204168293487
NAVSTAR 76 (USA 266),2025-01-07 22:28:59,22122.342624836485
NAVSTAR 49 (USA 154),2025-01-07 23:08:25,22010.552000196978
BEIDOU-3 M13,2025-01-07 22:28:35,21918.02791605176
BEIDOU-3 M9,2025-01-07 23:52:59,21732.96442594077
BEIDOU-3 M10,2025-01-07 21:45:34,21544.613854242907
NAVSTAR 52 (USA 168),2025-01-07 22:35:55,20677.33200448714
NAVSTAR 56 (USA 180),2025-01-07 23:30:34,20641.618605880103
COSMOS 2485 [GLONASS-M],2025-01-07 21:08:07,20424.741400570056
NAVSTAR 74 (USA 262),2025-01-07 21:17:18,20309.47968309449
NAVSTAR 83 (USA 440),2025-01-07 23:40:41,20227.31665713508
NAVSTAR 53 (USA 175),2025-01-07 23:46:18,20226.519395392654
NAVSTAR 46 (USA 145),2025-01-07 23:06:03,20033.155434121727
COSMOS 2476 [GLONASS-M],2025-01-07 22:28:58,19573.169862423314
COSMOS 2492 [GLONASS-M],2025-01-07 21:46:09,19497.960585802368
COSMOS 2433 [GLONASS-M],2025-01-07 23:20:04,19254.492749046934
COSMOS 2544 [GLONASS-M],2025-01-07 23:52:18,19190.201119175767
OMNI-M1,2025-01-07 21:24:19,10655.148935585139
GREENCUBE,2025-01-07 23:16:27,7002.570046266945
APSTAR-6E SPS,2025-01-07 23:06:08,3524.1449624381635
LCS 1,2025-01-07 21:53:05,3456.4053978955753
GLOBALSTAR M072,2025-01-07 21:20:22,2718.610395875087
RADIO ROSTO (RS-15),2025-01-07 21:50:18,2419.587817674571
GONETS-M 23,2025-01-07 23:05:45,2402.8682243612297
GONETS-M 9,2025-01-07 23:27:23,2401.3561500671285
LARES,2025-01-07 23:37:20,2260.098464629664
GONETS-M 14,2025-01-07 21:31:14,2224.31899568906
GLOBALSTAR M088,2025-01-07 23:00:47,2195.055821132117
COSMOS 2508,2025-01-07 21:09:07,2171.6761096381347
GLOBALSTAR M071,2025-01-07 23:42:53,2167.0924667999243
GONETS-M 20,2025-01-07 22:47:45,2100.82947254092
GLOBALSTAR M089,2025-01-07 23:06:15,2086.113859314788
COSMOS 2400,2025-01-07 22:24:43,2083.0776737478873
COSMOS 2408,2025-01-07 22:09:41,2076.7584390498187
COSMOS 2453,2025-01-07 21:34:30,2056.852444259793
ONEWEB-0713,2025-01-07 23:27:40,2032.042949901654
YAOGAN-20 01C,2025-01-07 23:10:55,2026.9490370129656
