Time,Frequency,Intensity
0.0,2701.5,73
0.25,2701.5,70
0.5,2701.5,68
0.75,2701.5,71
1.0,2701.5,70
1.25,2701.5,70
1.5,2701.5,71
1.75,2701.5,72
2.0,2701.5,71
2.25,2701.5,67
2.5,2701.5,72
2.75,2701.5,69
3.0,2701.5,73
3.25,2701.5,71
3.5,2701.5,70
3.75,2701.5,68
4.0,2701.5,69
4.25,2701.5,67
4.5,2701.5,69
4.75,2701.5,72
5.0,2701.5,67
5.25,2701.5,71
5.5,2701.5,71
5.75,2701.5,72
6.0,2701.5,72
6.25,2701.5,73
6.5,2701.5,71
6.75,2701.5,73
7.0,2701.5,72
7.25,2701.5,74
7.5,2701.5,71
7.75,2701.5,74
8.0,2701.5,66
8.25,2701.5,71
8.5,2701.5,72
8.75,2701.5,68
9.0,2701.5,67
9.25,2701.5,71
9.5,2701.5,72
9.75,2701.5,69
10.0,2701.5,68
10.25,2701.5,68
10.5,2701.5,72
10.75,2701.5,68
11.0,2701.5,69
11.25,2701.5,69
11.5,2701.5,67
11.75,2701.5,70
12.0,2701.5,72
12.25,2701.5,72
12.5,2701.5,70
12.75,2701.5,70
13.0,2701.5,69
13.25,2701.5,71
13.5,2701.5,70
13.75,2701.5,71
14.0,2701.5,71
14.25,2701.5,67
14.5,2701.5,71
14.75,2701.5,72
15.0,2701.5,70
15.25,2701.5,72
15.5,2701.5,70
15.75,2701.5,68
16.0,2701.5,69
16.25,2701.5,71
16.5,2701.5,71
16.75,2701.5,69
17.0,2701.5,71
17.25,2701.5,74
17.5,2701.5,71
17.75,2701.5,71
18.0,2701.5,67
18.25,2701.5,66
18.5,2701.5,72
18.75,2701.5,72
19.0,2701.5,69
19.25,2701.5,69
19.5,2701.5,71
19.75,2701.5,68
20.0,2701.5,70
20.25,2701.5,68
20.5,2701.5,69
20.75,2701.5,68
21.0,2701.5,70
21.25,2701.5,71
21.5,2701.5,68
21.75,2701.5,68
22.0,2701.5,69
22.25,2701.5,70
22.5,2701.5,73
22.75,2701.5,68
23.0,2701.5,69
23.25,2701.5,69
23.5,2701.5,68
23.75,2701.5,70
24.0,2701.5,70
24.25,2701.5,69
24.5,2701.5,70
24.75,2701.5,68
25.0,2701.5,67
25.25,2701.5,68
25.5,2701.5,72
25.75,2701.5,69
26.0,2701.5,68
26.25,2701.5,70
26.5,2701.5,67
26.75,2701.5,68
27.0,2701.5,67
27.25,2701.5,67
27.5,2701.5,71
27.75,2701.5,68
28.0,2701.5,69
28.25,2701.5,69
28.5,2701.5,68
28.75,2701.5,68
29.0,2701.5,69
29.25,2701.5,70
29.5,2701.5,68
29.75,2701.5,70
30.0,2701.5,68
30.25,2701.5,69
30.5,2701.5,69
30.75,2701.5,67
31.0,2701.5,67
31.25,2701.5,67
31.5,2701.5,68
31.75,2701.5,72
32.0,2701.5,66
32.25,2701.5,69
32.5,2701.5,65
32.75,2701.5,67
33.0,2701.5,66
33.25,2701.5,68
33.5,2701.5,67
33.75,2701.5,67
34.0,2701.5,71
34.25,2701.5,70
34.5,2701.5,65
34.75,2701.5,67
35.0,2701.5,68
35.25,2701.5,69
35.5,2701.5,69
35.75,2701.5,67
36.0,2701.5,67
36.25,2701.5,71
36.5,2701.5,69
36.75,2701.5,66
37.0,2701.5,71
37.25,2701.5,69
37.5,2701.5,66
37.75,2701.5,69
38.0,2701.5,68
38.25,2701.5,67
38.5,2701.5,67
38.75,2701.5,67
39.0,2701.5,67
39.25,2701.5,68
39.5,2701.5,68
39.75,2701.5,66
40.0,2701.5,66
40.25,2701.5,66
40.5,2701.5,68
40.75,2701.5,65
41.0,2701.5,66
41.25,2701.5,68
41.5,2701.5,70
41.75,2701.5,66
42.0,2701.5,67
42.25,2701.5,67
42.5,2701.5,69
42.75,2701.5,69
43.0,2701.5,65
43.25,2701.5,66
43.5,2701.5,70
43.75,2701.5,68
44.0,2701.5,66
44.25,2701.5,66
44.5,2701.5,66
44.75,2701.5,69
45.0,2701.5,66
45.25,2701.5,70
45.5,2701.5,70
45.75,2701.5,69
46.0,2701.5,65
46.25,2701.5,68
46.5,2701.5,66
46.75,2701.5,68
47.0,2701.5,68
47.25,2701.5,69
47.5,2701.5,66
47.75,2701.5,65
48.0,2701.5,67
48.25,2701.5,68
48.5,2701.5,66
48.75,2701.5,67
49.0,2701.5,67
49.25,2701.5,70
49.5,2701.5,64
49.75,2701.5,68
50.0,2701.5,67
50.25,2701.5,65
50.5,2701.5,63
50.75,2701.5,66
51.0,2701.5,66
51.25,2701.5,69
51.5,2701.5,66
51.75,2701.5,68
52.0,2701.5,65
52.25,2701.5,66
52.5,2701.5,67
52.75,2701.5,68
